CD_NOM,CD_REF,NOM_SCIENTIFIQUE,L,T,C,HA,HE,R,N,S,Tx,MO
81878,81878,"Alyssum alyssoides (L.) L., 1759",9,6,4,3,3,8,1,0,3,2
81944,81944,"Alyssum simplex Rudolphi, 1799",8,7,4,3,4,6,3,0,3,2
82498,82498,"Androsace elongata L., 1763",9,4,4,5,4,6,4,0,3,2
82535,82535,"Androsace septentrionalis L., 1753",7,2,8,2,2,7,2,0,3,2
131489,131489,"Anthyllis vulneraria subsp. rubriflora Arcang., 1882",8,8,4,3,4,8,4,0,3,2
83359,83359,"Arabis nova Vill., 1779",7,8,3,3,5,8,3,0,3,2
83565,83565,"Arenaria controversa Boiss., 1840",8,6,3,3,3,6,3,0,4,2
83615,83615,"Arenaria modesta Dufour, 1821",8,8,3,3,3,7,4,0,4,2
131600,131600,"Arenaria modesta subsp. modesta Dufour, 1821",8,8,3,3,3,7,4,0,4,2
84904,84904,"Astragalus stella Gouan, 1773",8,8,3,2,3,7,3,0,3,2
85628,85628,"Bassia laniflora (S.G.Gmel.) A.J.Scott, 1978",9,6,7,3,2,8,1,0,4,1
788879,788879,"Biserrula epiglottis (L.) Coulot, P.Rabaute & J.-M.Tison, 2014",8,8,3,3,3,7,4,0,3,2
86879,86879,"Bufonia paniculata Dubois ex Delarbre, 1800",8,6,4,3,3,8,3,0,3,2
86883,86883,"Bufonia tenuifolia L., 1753",8,8,3,3,3,7,3,0,4,1
87053,87053,"Bupleurum gerardi All., 1773",8,7,4,3,3,7,2,0,3,2
87074,87074,"Bupleurum odontites L., 1753",8,8,4,3,3,7,2,0,3,2
89161,89161,"Carlina lanata L., 1753",8,8,4,3,3,8,4,0,3,2
90076,90076,"Cerastium pumilum Curtis, 1777",8,6,5,3,3,8,2,0,3,2
90092,90092,"Cerastium siculum Guss., 1832",8,8,3,3,3,7,3,0,3,2
90319,90319,"Chaenorhinum rubrifolium (Robill. & Castagne ex DC.) Fourr., 1869",8,7,4,3,3,7,3,0,3,2
133191,133191,"Chaenorhinum rubrifolium subsp. rubrifolium (Robill. & Castagne ex DC.) Fourr., 1869",8,7,4,3,3,7,3,0,3,2
93036,93036,"Crepis dioscoridis L., 1763",8,8,4,4,4,7,2,0,3,2
